branch_id,branch_name,address,city,state,zip_code,country,phone,manager_name,opened_date,branch_type,region,num_employees
BR-0001,South Brookeburgh West Branch,40333 Richardson Glens Apt. 381,South Brookeburgh,HI,65897,US,445-977-6880,Jeffrey Thomas,2013-08-30,full_service,Northeast,10
BR-0002,New Rachel Downtown Branch,14564 Meyer Plains,New Rachel,AR,56235,US,020-284-8829,Amy Davidson,2007-08-28,full_service,Southeast,79
BR-0003,North Robertfort South Branch,93256 James Corners Apt. 499,North Robertfort,NY,01335,US,038-302-1905,Lisa King,2000-03-24,digital,Mountain,10
BR-0004,East Allisonmouth Plaza Branch,9273 Scott Fall,East Allisonmouth,TN,37628,US,240-669-0741,Wayne Zimmerman,2007-01-30,digital,Mountain,9
BR-0005,Brettchester South Branch,05949 Rachel Summit,Brettchester,MS,38776,US,518-791-5990,Mr. Ronald Perry,2005-03-26,full_service,West,68
BR-0006,New James North Branch,32795 Miller Expressway,New James,NY,42333,US,314-892-1325,Thomas Cooke,2018-11-12,full_service,Southwest,12
BR-0007,Steelemouth South Branch,802 Edwards Lake Suite 231,Steelemouth,WA,80168,US,372-538-9512,Tracy Robles,2024-04-19,full_service,Mountain,34
BR-0008,Mcgeeview Gateway Branch,899 Romero Drive Suite 767,Mcgeeview,AR,92434,US,845-664-1809,Steven Vega,2013-12-21,limited_service,Southeast,75
BR-0009,Bellside Main Branch,14336 Timothy Heights,Bellside,WI,22164,US,958-080-9227,Tyler Bennett,2001-12-16,full_service,Mountain,50
BR-0010,New Dawn South Branch,88255 Osborn Skyway Suite 315,New Dawn,IN,10212,US,266-582-8599,Adam Lee,2006-07-16,limited_service,West,12
BR-0011,North Andrewport North Branch,222 Davis Gardens,North Andrewport,AZ,65899,US,590-382-8647,Alexander Young,2020-12-26,digital,Northeast,7
BR-0012,Donaldton Park Branch,9704 Kathleen Common Apt. 981,Donaldton,NJ,82961,US,753-725-7970,Erica Glass,2004-02-02,full_service,Southwest,76
BR-0013,Lake Tina Main Branch,000 Lopez Haven Suite 375,Lake Tina,KS,93558,US,401-361-0846,Catherine Reed,2014-10-05,digital,Pacific Northwest,3
BR-0014,South Ryan East Branch,9495 Gay Lakes,South Ryan,ME,97874,US,512-776-0407,Fernando Gaines,2000-12-28,limited_service,Pacific Northwest,41
BR-0015,South Steven Plaza Branch,1693 Timothy Falls,South Steven,CO,19826,US,867-200-6398,Shawn Kline,2024-02-16,full_service,Southeast,26
BR-0016,North Daleshire Central Branch,73872 Kristina Rest,North Daleshire,VT,90127,US,109-081-8753,Sandra Rodriguez,2021-09-07,digital,Pacific Northwest,12
BR-0017,Hoganmouth North Branch,65685 Anderson Loop Suite 603,Hoganmouth,WY,26944,US,023-672-5051,Spencer Adams,2013-09-21,full_service,Southeast,34
BR-0018,Johnsontown North Branch,638 Marissa Course Apt. 654,Johnsontown,WV,37702,US,886-586-8374,Erica Weber,2017-09-02,full_service,Northeast,59
BR-0019,Lake John Park Branch,6151 Trevor Estates,Lake John,NY,74186,US,136-203-3929,Victoria Torres,2011-04-14,limited_service,West,42
BR-0020,Douglashaven Downtown Branch,742 Pearson Station,Douglashaven,TN,02116,US,149-254-5816,Geoffrey Gonzalez,2014-05-23,full_service,Mid-Atlantic,64
BR-0021,Jamesport South Branch,281 Sara Roads,Jamesport,AZ,42223,US,007-949-2363,Joshua Goodman,2019-01-14,digital,Pacific Northwest,4
BR-0022,Port Joshuaburgh South Branch,278 Abbott Centers,Port Joshuaburgh,DE,61152,US,847-570-3857,Alexis Wood,2018-07-23,limited_service,Southeast,8
BR-0023,South Melissa Gateway Branch,0615 Knight Neck,South Melissa,FL,48229,US,347-349-6342,Mrs. Lindsay Robinson,2024-07-06,full_service,Northeast,43
BR-0024,Smithside Main Branch,966 Angelica Bypass,Smithside,MT,17747,US,500-409-2675,Mark Ramirez,2023-05-13,full_service,Northeast,78
BR-0025,Garciahaven Central Branch,8507 Derek Flats Apt. 218,Garciahaven,ND,43898,US,149-921-3044,Elizabeth Coleman,2022-12-20,limited_service,Mid-Atlantic,15
BR-0026,North Robert Downtown Branch,271 George Fords Apt. 070,North Robert,KS,86804,US,663-468-3678,Francisco Parrish,2024-11-08,full_service,Southeast,68
BR-0027,Josephhaven Gateway Branch,98820 Erica Port,Josephhaven,CA,53701,US,758-540-7201,Laura Cooper,2007-02-16,full_service,Mid-Atlantic,30
BR-0028,North Amanda South Branch,098 Harris Summit Suite 539,North Amanda,AL,20222,US,749-673-0810,Angelica Koch,2018-11-23,full_service,Mid-Atlantic,18
BR-0029,South Johnside North Branch,6748 Rebecca Glen,South Johnside,LA,19448,US,847-442-8723,Aaron Hawkins,2018-02-13,full_service,Midwest,80
BR-0030,Kristiport South Branch,98376 Jeffrey Course,Kristiport,AL,70854,US,603-254-8845,Sara Parsons,2014-06-10,full_service,Northeast,22
BR-0031,Bradyside Central Branch,940 Stephen Causeway Apt. 483,Bradyside,OK,07013,US,899-647-6132,Zachary Cochran,2004-06-06,full_service,Mid-Atlantic,84
BR-0032,Huntertown Park Branch,7775 Warren Manors,Huntertown,ME,96475,US,518-062-7387,Ryan Ford,2019-07-15,full_service,Pacific Northwest,46
BR-0033,Sarahshire North Branch,23417 Scott Ville,Sarahshire,IA,20729,US,280-132-1328,Nathan Ward,2002-04-02,limited_service,Pacific Northwest,61
BR-0034,Savannahville East Branch,3748 Taylor Ville,Savannahville,IA,66697,US,088-841-5465,Lisa Jenkins,2009-03-22,digital,Pacific Northwest,4
BR-0035,Jonesville Central Branch,164 Gonzalez Centers Suite 033,Jonesville,VA,39248,US,037-638-8356,Theresa Mckinney,2012-12-19,digital,Northeast,7
BR-0036,North Jason Downtown Branch,89999 Harrison Land Apt. 573,North Jason,NC,87781,US,378-776-0454,Samuel Neal,2008-05-10,limited_service,Mid-Atlantic,32
BR-0037,Kimberlyton Central Branch,993 Baker Trail,Kimberlyton,AL,85350,US,488-652-6481,David Johnson,2016-07-17,limited_service,Southwest,68
BR-0038,Mirandaton Park Branch,019 Rodgers Alley Suite 827,Mirandaton,MD,63044,US,817-793-0505,Christine Johnson,2014-09-12,full_service,Northeast,38
BR-0039,East Howard Main Branch,1679 Betty Extensions,East Howard,MA,85024,US,427-161-0889,Nicole Williams,2010-02-11,digital,West,3
BR-0040,Cookside Gateway Branch,7281 Hall Station Apt. 696,Cookside,IN,42660,US,558-706-7187,Lauren Glenn,2010-10-21,limited_service,Southwest,13
BR-0041,Katherineberg Main Branch,69688 Jones Square,Katherineberg,ME,44296,US,227-864-4805,Paula Gonzalez,2014-06-30,full_service,Mid-Atlantic,61
BR-0042,Maryland Downtown Branch,18998 Rogers Row Suite 044,Maryland,MN,28460,US,710-735-9329,Katherine Weaver,2017-11-05,limited_service,Midwest,25
BR-0043,West Jeffreyview Central Branch,0388 Bowen Spring Apt. 975,West Jeffreyview,GA,42077,US,581-053-7556,Andrew Acevedo,2023-07-07,full_service,Southwest,54
BR-0044,Michaelstad Park Branch,2672 Dalton Route,Michaelstad,IN,14735,US,449-297-4393,Douglas Richardson,2002-10-05,limited_service,Southwest,40
BR-0045,South Anthony East Branch,491 Daniel Fords Apt. 905,South Anthony,HI,82088,US,127-827-4892,Sarah Simmons,2006-05-07,full_service,Mountain,62
BR-0046,Melissaport Central Branch,767 Brett Stravenue,Melissaport,AL,40972,US,463-609-6525,Jennifer Kelley,2009-01-16,digital,Southwest,8
BR-0047,Rebeccaville Park Branch,98237 Scott Station Apt. 229,Rebeccaville,MT,17675,US,664-024-2722,Laura Nelson,2022-01-10,full_service,Southwest,84
BR-0048,North Bonnie East Branch,852 Clark Key,North Bonnie,WV,23393,US,507-118-5976,Thomas Griffin,2011-09-25,full_service,Northeast,47
BR-0049,Johnstonton Downtown Branch,02414 Braun Underpass Suite 283,Johnstonton,SC,39130,US,321-413-0456,Stephen Galloway,2011-03-20,full_service,Mid-Atlantic,80
BR-0050,Port Steven North Branch,1856 Davis Mews Apt. 956,Port Steven,NH,80381,US,352-329-8981,Amy Jones,2005-03-20,digital,Mid-Atlantic,3
BR-0051,New Kimberly Gateway Branch,634 Ryan Alley Apt. 040,New Kimberly,MT,76155,US,510-661-3775,Jessica Ramirez,2023-11-15,full_service,Pacific Northwest,34
BR-0052,Gravesborough Park Branch,54913 Kevin Street Suite 183,Gravesborough,CT,44880,US,266-955-2607,Tyler Rosario,2013-07-11,full_service,Southwest,33
