transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,description,merchant_name,merchant_category,channel,status,reference_number
TXN-700001,ACC-603393,2023-03-22 23:55:16,deposit,1467.33,7051.94,Direct Deposit,,,branch,completed,REF-677106994038
TXN-700002,ACC-604992,2024-10-24 23:58:19,transfer,7949.44,23588.43,ACH Transfer,,,online,completed,REF-997861803021
TXN-700003,ACC-600917,2025-11-14 16:37:32,payment,2739.17,10409.22,Payment to Enterprise,Enterprise,Travel,atm,completed,REF-500587811273
TXN-700004,ACC-604527,2025-01-04 04:48:05,deposit,15054.61,3875.25,Mobile Deposit,,,atm,failed,REF-612251969985
TXN-700005,ACC-602735,2024-05-15 23:48:51,fee,23.16,64993.89,Overdraft Fee,,,online,completed,REF-198493718961
TXN-700006,ACC-601156,2023-06-04 22:48:54,deposit,6377.5,93006.72,Wire Transfer In,,,mobile,reversed,REF-930249619076
TXN-700007,ACC-601888,2024-05-10 04:49:59,payment,5424.16,48500.18,Payment to McDonalds,McDonalds,Restaurants,online,reversed,REF-578842307424
TXN-700008,ACC-604429,2024-02-01 01:32:08,withdrawal,363.88,90603.96,Cash Withdrawal,,,mobile,completed,REF-956909139200
TXN-700009,ACC-602641,2024-03-09 16:59:20,deposit,22278.07,61609.29,Check Deposit,,,mobile,completed,REF-076384570630
TXN-700010,ACC-603104,2025-04-10 21:15:53,payment,7043.97,44361.96,Payment to Starbucks,Starbucks,Restaurants,online,completed,REF-813084983302
TXN-700011,ACC-604976,2024-01-07 00:00:59,transfer,4348.25,45064.1,Internal Transfer,,,atm,completed,REF-241159195176
TXN-700012,ACC-604743,2025-07-31 22:19:13,withdrawal,1751.99,45301.46,ATM Withdrawal,,,online,completed,REF-216752466165
TXN-700013,ACC-602445,2025-02-03 19:45:05,payment,2009.06,18567.01,Payment to Pearson,Pearson,Education,atm,completed,REF-522529281159
TXN-700014,ACC-603299,2023-05-10 05:49:56,deposit,8340.68,41083.99,Direct Deposit,,,atm,completed,REF-066748405444
TXN-700015,ACC-600683,2025-06-26 13:41:26,payment,9770.81,93896.46,Payment to YouTube Premium,YouTube Premium,Entertainment,online,completed,REF-314213628691
TXN-700016,ACC-604706,2025-05-04 02:18:02,payment,3046.66,87918.97,Payment to Allstate,Allstate,Insurance,online,completed,REF-119997855400
TXN-700017,ACC-601885,2025-03-18 14:46:42,deposit,3436.58,73700.43,Wire Transfer In,,,online,completed,REF-147879994977
TXN-700018,ACC-601255,2024-01-10 12:57:26,withdrawal,329.96,7114.9,Cash Withdrawal,,,branch,completed,REF-341260610403
TXN-700019,ACC-601581,2023-11-15 00:05:37,deposit,14503.91,59425.2,Mobile Deposit,,,branch,completed,REF-049962313923
TXN-700020,ACC-604777,2023-11-10 19:50:25,withdrawal,1072.26,98442.95,ATM Withdrawal,,,atm,completed,REF-087521187391
TXN-700021,ACC-602515,2024-11-09 15:18:50,transfer,9846.23,13342.29,ACH Transfer,,,online,pending,REF-050042408995
TXN-700022,ACC-600662,2025-10-07 17:44:46,payment,2253.83,99450.11,Payment to Disney+,Disney+,Entertainment,mobile,completed,REF-056685418829
TXN-700023,ACC-604142,2023-03-22 00:11:49,payment,7499.33,36136.32,Payment to Trader Joes,Trader Joes,Groceries,atm,completed,REF-219590534005
TXN-700024,ACC-604633,2023-04-26 10:42:20,transfer,9383.39,77942.14,ACH Transfer,,,mobile,completed,REF-416397638659
TXN-700025,ACC-602935,2024-12-24 06:33:28,transfer,957.08,45504.22,Internal Transfer,,,mobile,pending,REF-756061086752
TXN-700026,ACC-604159,2023-10-03 16:54:46,withdrawal,2149.52,1286.63,Cash Withdrawal,,,mobile,completed,REF-036649704341
TXN-700027,ACC-602079,2025-08-05 08:27:32,deposit,3500.52,14714.64,Wire Transfer In,,,mobile,completed,REF-705329147524
TXN-700028,ACC-601700,2023-03-22 03:31:30,deposit,23325.4,59768.16,Check Deposit,,,branch,completed,REF-139886783674
TXN-700029,ACC-603556,2024-10-12 05:45:15,payment,1588.76,53950.03,Payment to Kroger,Kroger,Groceries,atm,completed,REF-659888960453
TXN-700030,ACC-601853,2024-03-24 06:15:47,withdrawal,7901.3,43581.68,ATM Withdrawal,,,mobile,completed,REF-174117317607
TXN-700031,ACC-604420,2025-09-06 03:51:21,payment,7538.51,57235.54,Payment to ExxonMobil,ExxonMobil,Gas Stations,online,completed,REF-077285615828
TXN-700032,ACC-604434,2025-06-10 23:57:28,withdrawal,8733.71,18550.44,Cash Withdrawal,,,branch,completed,REF-280149558828
TXN-700033,ACC-600520,2025-06-05 21:20:03,withdrawal,4390.03,64900.55,Cash Withdrawal,,,atm,completed,REF-551267041542
TXN-700034,ACC-601275,2024-11-06 08:50:21,deposit,16215.6,663.15,Wire Transfer In,,,branch,completed,REF-229155531317
TXN-700035,ACC-600109,2024-09-07 00:21:50,payment,864.4,55702.08,Payment to Apple Music,Apple Music,Entertainment,atm,pending,REF-219842469121
TXN-700036,ACC-601234,2025-05-28 11:59:32,transfer,3365.25,49129.85,External Transfer,,,atm,completed,REF-506500900157
TXN-700037,ACC-603158,2025-05-27 03:37:06,payment,1447.64,50492.82,Payment to Bed Bath Beyond,Bed Bath Beyond,Home Improvement,mobile,completed,REF-121374847283
