policy_id,customer_id,policy_type,policy_number,start_date,end_date,premium_amount,coverage_amount,deductible,status,agent_id,created_at
POL-200001,101689,home,INS-68390510,2023-11-05,2026-11-04,1529.34,207994.36,250,active,AGT-0084,2023-10-17 00:00:00
POL-200002,101120,life,INS-11816934,2025-12-23,2027-12-23,3463.37,149062.89,5000,active,AGT-0180,2025-11-30 00:00:00
POL-200003,101514,life,INS-91067698,2025-01-09,2027-01-09,3749.0,222664.69,1000,active,AGT-0118,2024-12-28 00:00:00
POL-200004,100683,home,INS-71014941,2024-06-14,2026-06-14,3037.9,933354.44,500,active,AGT-0106,2024-05-31 00:00:00
POL-200005,100812,health,INS-16328225,2023-04-09,2026-04-08,348.42,989746.65,1000,active,AGT-0112,2023-04-07 00:00:00
POL-200006,101966,life,INS-19642958,2025-10-04,2027-10-04,2895.34,638030.11,2500,active,AGT-0024,2025-09-16 00:00:00
POL-200007,101599,auto,INS-61672117,2025-12-25,2026-12-25,4003.03,847836.35,250,expired,AGT-0120,2025-12-05 00:00:00
POL-200008,101332,home,INS-02544965,2023-05-30,2026-05-29,2183.19,284096.26,1500,cancelled,AGT-0190,2023-05-25 00:00:00
POL-200009,101333,life,INS-50242182,2023-05-30,2024-05-29,3256.81,346411.62,2000,cancelled,AGT-0190,2023-05-03 00:00:00
POL-200010,101943,health,INS-54805759,2023-02-13,2025-02-12,2894.95,16290.42,5000,active,AGT-0003,2023-02-05 00:00:00
POL-200011,100661,health,INS-50242426,2023-11-05,2025-11-04,4285.09,588532.72,5000,active,AGT-0118,2023-10-15 00:00:00
POL-200012,101363,home,INS-33523175,2024-12-27,2027-12-27,4342.85,161078.73,5000,active,AGT-0079,2024-12-21 00:00:00
POL-200013,100207,auto,INS-48771320,2025-12-28,2028-12-27,4725.25,49058.06,500,expired,AGT-0018,2025-12-17 00:00:00
POL-200014,101783,life,INS-20613920,2024-04-16,2027-04-16,1083.6,309900.21,1500,pending,AGT-0060,2024-03-17 00:00:00
POL-200015,101884,home,INS-31867674,2024-12-28,2025-12-28,729.7,899890.84,1500,active,AGT-0097,2024-12-27 00:00:00
POL-200016,100910,home,INS-48228780,2025-02-18,2026-02-18,2261.72,405186.42,500,cancelled,AGT-0152,2025-01-22 00:00:00
POL-200017,100256,auto,INS-73900496,2023-12-25,2026-12-24,4570.75,727273.16,250,active,AGT-0054,2023-12-21 00:00:00
POL-200018,101927,health,INS-30966676,2025-01-03,2028-01-03,4977.02,420976.59,500,pending,AGT-0130,2024-12-22 00:00:00
POL-200019,100979,life,INS-29602964,2025-11-07,2026-11-07,4727.24,25984.01,1500,cancelled,AGT-0103,2025-10-10 00:00:00
POL-200020,100205,life,INS-99104716,2025-01-08,2027-01-08,4190.85,439807.4,5000,expired,AGT-0059,2024-12-16 00:00:00
POL-200021,100173,health,INS-49545844,2025-08-23,2026-08-23,4758.98,281968.97,2500,cancelled,AGT-0012,2025-08-18 00:00:00
POL-200022,101736,home,INS-65771371,2023-12-30,2026-12-29,95.91,523435.8,500,expired,AGT-0196,2023-12-28 00:00:00
POL-200023,100126,home,INS-53427893,2024-08-23,2026-08-23,3106.9,825018.2,1500,active,AGT-0133,2024-08-18 00:00:00
POL-200024,101520,home,INS-28732276,2025-01-17,2026-01-17,3943.46,39680.33,500,active,AGT-0161,2025-01-05 00:00:00
POL-200025,101862,life,INS-65484274,2024-10-19,2025-10-19,3927.18,338266.23,1500,active,AGT-0037,2024-09-19 00:00:00
POL-200026,100835,auto,INS-94645403,2025-02-11,2028-02-11,3626.49,178042.83,250,active,AGT-0058,2025-02-08 00:00:00
POL-200027,100860,auto,INS-00214366,2023-08-19,2025-08-18,2348.94,420926.07,2000,active,AGT-0155,2023-07-24 00:00:00
POL-200028,101305,auto,INS-59453882,2024-09-29,2026-09-29,2373.96,903854.12,500,active,AGT-0139,2024-09-17 00:00:00
POL-200029,101960,auto,INS-32345335,2025-09-05,2027-09-05,3756.16,853448.79,500,active,AGT-0132,2025-08-31 00:00:00
POL-200030,101650,home,INS-66822896,2024-04-06,2027-04-06,456.84,103841.3,1500,active,AGT-0158,2024-04-02 00:00:00
POL-200031,100512,home,INS-57549203,2024-05-28,2025-05-28,3663.65,308097.07,2500,pending,AGT-0172,2024-05-09 00:00:00
POL-200032,101065,life,INS-98013376,2023-09-27,2025-09-26,2139.0,664589.81,2000,expired,AGT-0009,2023-09-03 00:00:00
POL-200033,101856,health,INS-19157701,2023-04-09,2024-04-08,4898.68,24178.51,2500,active,AGT-0061,2023-04-03 00:00:00
POL-200034,100813,life,INS-41115816,2023-01-24,2026-01-23,2429.84,859103.65,500,expired,AGT-0148,2023-01-11 00:00:00
POL-200035,100926,home,INS-23153942,2025-07-17,2028-07-16,1350.88,445464.37,2500,active,AGT-0197,2025-06-30 00:00:00
POL-200036,101893,life,INS-81158765,2024-11-21,2025-11-21,1313.66,808918.61,1500,cancelled,AGT-0117,2024-10-30 00:00:00
POL-200037,100198,life,INS-09163975,2025-11-29,2027-11-29,362.43,371768.02,2500,active,AGT-0140,2025-11-24 00:00:00
POL-200038,100194,home,INS-05792151,2025-07-25,2026-07-25,645.37,715568.4,500,cancelled,AGT-0079,2025-07-10 00:00:00
POL-200039,100894,auto,INS-09810094,2025-10-30,2026-10-30,2017.91,941837.22,2000,active,AGT-0175,2025-10-22 00:00:00
POL-200040,101590,auto,INS-43002773,2024-02-11,2027-02-10,3735.75,530318.94,5000,active,AGT-0136,2024-01-25 00:00:00
POL-200041,100097,life,INS-20656942,2024-04-16,2027-04-16,4738.46,535561.37,1000,active,AGT-0175,2024-04-10 00:00:00
POL-200042,101301,home,INS-76380826,2023-11-08,2026-11-07,4713.85,613568.9,5000,active,AGT-0013,2023-10-26 00:00:00
POL-200043,100608,health,INS-32676311,2025-12-04,2027-12-04,4474.04,473324.11,500,expired,AGT-0077,2025-12-03 00:00:00
POL-200044,100154,life,INS-43107539,2024-09-30,2025-09-30,4619.11,616986.09,250,active,AGT-0106,2024-09-25 00:00:00
