batch_id,product_id,product_name,batch_number,manufacturing_date,expiry_date,quantity_produced,quantity_approved,quantity_rejected,unit_of_measure,facility_id,production_line,status,batch_cost,created_at
BAT-000001,PRD-0032,Propranolol 40mg,BN-202507-2003,2025-07-29,2028-07-21,98551,97962,589,kg,FAC-006,PL-17,approved,1443.85,2025-07-30 01:06:13
BAT-000002,PRD-0013,Prednisone 10mg,BN-202402-3031,2024-02-13,2025-07-09,461417,458315,3102,capsules,FAC-007,PL-06,approved,127368.14,2024-02-14 14:06:13
BAT-000003,PRD-0011,Ciprofloxacin 250mg,BN-202409-7754,2024-09-05,2027-06-17,439325,434464,4861,bottles,FAC-007,PL-14,approved,38016.99,2024-09-06 01:17:18
BAT-000004,PRD-0048,Methylprednisolone 16mg,BN-202401-5611,2024-01-10,2026-07-06,4661,2134,2527,vials,FAC-003,PL-02,rejected,9886.06,2024-01-10 23:34:55
BAT-000005,PRD-0047,Dexamethasone 4mg,BN-202304-2309,2023-04-04,2025-12-28,397178,383085,14093,kg,FAC-001,PL-24,recalled,101337.92,2023-04-05 17:01:24
BAT-000006,PRD-0038,Insulin Lispro 100U,BN-202407-2079,2024-07-15,2027-06-29,358082,352527,5555,bottles,FAC-011,PL-15,approved,54037.82,2024-07-16 19:56:35
BAT-000007,PRD-0024,Diclofenac 50mg,BN-202502-9944,2025-02-15,2026-12-19,401248,398681,2567,ampoules,FAC-008,PL-19,approved,25997.66,2025-02-17 02:58:38
BAT-000008,PRD-0023,Tramadol 50mg,BN-202409-7606,2024-09-28,2027-01-17,462360,457046,5314,kg,FAC-015,PL-15,approved,23326.38,2024-09-30 11:55:51
BAT-000009,PRD-0049,Rosuvastatin 10mg,BN-202408-6189,2024-08-21,2026-10-24,498881,494313,4568,mL,FAC-005,PL-13,in_production,55173.65,2024-08-23 02:52:26
BAT-000010,PRD-0043,Bevacizumab 400mg,BN-202309-2553,2023-09-26,2025-02-26,311869,308314,3555,tablets,FAC-013,PL-16,qa_review,22910.02,2023-09-27 07:42:12
BAT-000011,PRD-0013,Prednisone 10mg,BN-202302-5549,2023-02-03,2025-06-26,206642,201670,4972,ampoules,FAC-007,PL-16,qa_review,91220.34,2023-02-05 00:18:50
BAT-000012,PRD-0028,Ranitidine 150mg,BN-202411-6789,2024-11-06,2026-04-18,256507,215192,41315,capsules,FAC-003,PL-11,rejected,106050.6,2024-11-08 12:59:09
BAT-000013,PRD-0019,Escitalopram 10mg,BN-202308-7821,2023-08-08,2025-04-04,272981,271209,1772,kg,FAC-001,PL-10,approved,94910.54,2023-08-09 16:40:28
BAT-000014,PRD-0041,Pembrolizumab 100mg,BN-202404-2996,2024-04-27,2027-03-28,325261,320251,5010,vials,FAC-017,PL-10,approved,51494.04,2024-04-28 12:27:06
BAT-000015,PRD-0045,Infliximab 100mg,BN-202307-1290,2023-07-19,2025-07-31,297394,296877,517,kg,FAC-012,PL-14,approved,37293.42,2023-07-19 22:09:49
