test_id,batch_id,test_type,test_date,result_value,unit,specification_min,specification_max,pass_fail,analyst_id,equipment_id,lab_id,deviation_id,notes,created_at
TST-000001,BAT-000820,identity,2024-03-22,1.0131,ratio,0.98,1.02,pass,ANL-041,EQP-0001,LAB-007,,,2024-03-22 22:04:12
TST-000002,BAT-001322,microbial,2024-03-30,14.0,CFU/g,0,100,pass,ANL-046,EQP-0097,LAB-013,,Within spec,2024-03-31 03:06:00
TST-000003,BAT-000112,potency,2024-03-05,97.37,%,95.0,105.0,pass,ANL-004,EQP-0029,LAB-012,,Minor deviation noted,2024-03-06 00:22:47
TST-000004,BAT-002663,identity,2024-10-05,1.0124,ratio,0.98,1.02,pass,ANL-003,EQP-0050,LAB-005,,,2024-10-05 10:20:52
TST-000005,BAT-001927,dissolution,2025-08-27,90.05,%,80.0,100.0,pass,ANL-019,EQP-0037,LAB-008,,,2025-08-27 02:39:00
TST-000006,BAT-002603,dissolution,2025-05-11,90.75,%,80.0,100.0,pass,ANL-001,EQP-0017,LAB-008,,,2025-05-11 08:25:19
TST-000007,BAT-000655,stability,2024-10-22,98.76,%,90.0,110.0,pass,ANL-024,EQP-0015,LAB-004,,Retest performed,2024-10-22 23:01:53
TST-000008,BAT-002809,potency,2024-05-13,103.92,%,95.0,105.0,pass,ANL-040,EQP-0070,LAB-015,,,2024-05-13 08:23:15
TST-000009,BAT-002011,dissolution,2024-04-09,85.77,%,80.0,100.0,pass,ANL-014,EQP-0070,LAB-009,,,2024-04-09 04:24:36
TST-000010,BAT-002220,dissolution,2023-10-07,88.89,%,80.0,100.0,pass,ANL-033,EQP-0022,LAB-009,,,2023-10-07 19:00:30
TST-000011,BAT-000011,stability,2023-09-12,100.09,%,90.0,110.0,pass,ANL-021,EQP-0029,LAB-003,,Sample re-prepared,2023-09-12 11:46:34
TST-000012,BAT-001518,identity,2023-08-06,1.0092,ratio,0.98,1.02,pass,ANL-024,EQP-0008,LAB-002,,Sample re-prepared,2023-08-06 16:53:45
TST-000013,BAT-001350,purity,2024-01-28,99.32,%,98.0,100.0,pass,ANL-006,EQP-0012,LAB-013,,,2024-01-29 04:29:54
TST-000014,BAT-002265,microbial,2025-01-06,22.0,CFU/g,0,100,pass,ANL-001,EQP-0093,LAB-006,,Sample re-prepared,2025-01-06 09:22:50
TST-000015,BAT-000854,microbial,2025-12-10,3.0,CFU/g,0,100,pass,ANL-006,EQP-0066,LAB-001,,Retest performed,2025-12-10 15:44:14
TST-000016,BAT-000380,dissolution,2023-06-08,99.14,%,80.0,100.0,pass,ANL-032,EQP-0034,LAB-011,,,2023-06-08 05:26:33
TST-000017,BAT-001126,identity,2024-08-03,1.0188,ratio,0.98,1.02,pass,ANL-022,EQP-0055,LAB-010,,,2024-08-03 15:52:03
TST-000018,BAT-000886,purity,2025-01-04,98.56,%,98.0,100.0,pass,ANL-036,EQP-0074,LAB-015,,Minor deviation noted,2025-01-04 17:04:42
TST-000019,BAT-001836,purity,2025-03-04,100.12,%,98.0,100.0,fail,ANL-003,EQP-0073,LAB-015,DEV-8626,Retest required,2025-03-04 19:47:19
TST-000020,BAT-002763,dissolution,2023-10-04,94.02,%,80.0,100.0,pass,ANL-004,EQP-0047,LAB-007,,Minor deviation noted,2023-10-04 22:33:42
TST-000021,BAT-001686,potency,2024-11-12,97.26,%,95.0,105.0,pass,ANL-010,EQP-0039,LAB-014,,,2024-11-12 22:47:54
TST-000022,BAT-000834,stability,2023-11-15,97.41,%,90.0,110.0,pass,ANL-009,EQP-0083,LAB-006,,,2023-11-15 19:46:58
TST-000023,BAT-002325,purity,2024-10-30,99.07,%,98.0,100.0,pass,ANL-038,EQP-0037,LAB-014,,Minor deviation noted,2024-10-30 13:01:33
TST-000024,BAT-001765,dissolution,2023-11-19,94.55,%,80.0,100.0,pass,ANL-006,EQP-0085,LAB-005,,Within spec,2023-11-19 16:28:58
TST-000025,BAT-002839,microbial,2024-03-10,9.0,CFU/g,0,100,pass,ANL-036,EQP-0098,LAB-002,,Minor deviation noted,2024-03-11 03:14:11
TST-000026,BAT-000130,microbial,2025-06-25,8.0,CFU/g,0,100,pass,ANL-019,EQP-0049,LAB-012,,,2025-06-25 20:23:48
TST-000027,BAT-002676,potency,2025-04-09,99.54,%,95.0,105.0,pass,ANL-040,EQP-0071,LAB-010,,,2025-04-10 01:03:16
TST-000028,BAT-001683,purity,2024-01-08,100.84,%,98.0,100.0,fail,ANL-001,EQP-0036,LAB-003,DEV-3109,Retest required,2024-01-08 18:23:04
TST-000029,BAT-000986,purity,2025-12-10,99.29,%,98.0,100.0,pass,ANL-007,EQP-0085,LAB-010,,Within spec,2025-12-10 12:03:28
