inventory_id,outlet_id,product_id,product_name,batch_number,quantity_on_hand,quantity_reserved,reorder_level,reorder_quantity,unit_price,expiry_date,last_restock_date,status,storage_condition,created_at
INV-000001,OUT-0251,PRD-0049,Rosuvastatin 10mg,BN-202470-1623,1103,90,82,210,157.83,2025-03-24,2025-10-24,in_stock,Refrigerated 2-8C,2024-06-30 09:14:39
INV-000002,OUT-0025,PRD-0005,Omeprazole 40mg,BN-202374-6813,884,52,128,92,190.97,2025-06-17,2024-08-06,expired,Controlled Room Temp,2025-05-12 13:07:16
INV-000003,OUT-0070,PRD-0030,Clarithromycin 500mg,BN-202472-5860,432,77,184,142,358.72,2025-02-21,2024-01-20,expired,Refrigerated 2-8C,2024-07-10 17:50:07
INV-000004,OUT-0006,PRD-0001,Amoxicillin 500mg,BN-202303-5947,1522,52,14,159,206.05,2026-12-19,2024-12-26,in_stock,Room Temperature,2025-12-03 07:05:57
INV-000005,OUT-0254,PRD-0018,Montelukast 10mg,BN-202431-7511,692,29,176,131,419.95,2027-06-20,2024-10-24,in_stock,Frozen -20C,2025-01-14 00:17:12
INV-000006,OUT-0214,PRD-0007,Amlodipine 5mg,BN-202483-3227,739,50,15,360,65.58,2025-03-01,2023-09-16,expired,Refrigerated 2-8C,2024-05-10 08:06:21
INV-000007,OUT-0446,PRD-0021,Fluoxetine 20mg,BN-202317-6755,385,1,166,71,235.58,2026-03-10,2025-09-05,expired,Frozen -20C,2025-12-30 17:36:21
INV-000008,OUT-0084,PRD-0045,Infliximab 100mg,BN-202307-5171,1494,23,108,244,84.4,2024-11-28,2025-04-01,expired,Controlled Room Temp,2024-12-09 02:04:41
INV-000009,OUT-0210,PRD-0016,Clopidogrel 75mg,BN-202456-7605,916,17,91,233,43.6,2025-09-01,2023-10-16,in_stock,Room Temperature,2025-03-20 09:33:55
INV-000010,OUT-0001,PRD-0042,Trastuzumab 150mg,BN-202381-2257,1849,54,24,131,340.97,2024-08-14,2024-01-09,in_stock,Refrigerated 2-8C,2024-12-17 20:38:07
INV-000011,OUT-0065,PRD-0049,Rosuvastatin 10mg,BN-202441-2986,205,73,162,62,457.26,2025-07-29,2024-02-25,expired,Frozen -20C,2024-10-01 07:40:24
INV-000012,OUT-0376,PRD-0045,Infliximab 100mg,BN-202430-8707,107,74,49,61,74.67,2027-03-07,2023-07-09,in_stock,Controlled Room Temp,2025-06-09 06:33:17
INV-000013,OUT-0244,PRD-0039,Adalimumab 40mg,BN-202392-7347,1800,47,104,292,359.04,2024-05-29,2023-02-14,in_stock,Refrigerated 2-8C,2024-01-06 17:57:47
INV-000014,OUT-0114,PRD-0006,Lisinopril 10mg,BN-202473-4056,813,79,50,323,328.94,2026-04-19,2023-06-16,in_stock,Refrigerated 2-8C,2024-01-17 07:38:39
INV-000015,OUT-0459,PRD-0022,Duloxetine 30mg,BN-202392-3227,1586,98,151,439,26.18,2026-11-26,2025-04-22,in_stock,Room Temperature,2023-04-18 11:42:58
INV-000016,OUT-0012,PRD-0038,Insulin Lispro 100U,BN-202426-6226,945,70,167,447,11.58,2026-01-08,2024-07-25,in_stock,Frozen -20C,2024-01-01 21:15:21
INV-000017,OUT-0429,PRD-0024,Diclofenac 50mg,BN-202471-3279,1690,90,153,192,320.83,2026-03-20,2025-09-28,in_stock,Room Temperature,2024-11-06 09:37:42
INV-000018,OUT-0329,PRD-0031,Metoprolol 50mg,BN-202429-2115,1527,29,43,422,375.43,2026-07-05,2025-08-19,in_stock,Controlled Room Temp,2023-03-01 23:06:07
INV-000019,OUT-0495,PRD-0022,Duloxetine 30mg,BN-202419-3974,465,16,100,215,225.58,2027-12-12,2024-03-22,in_stock,Refrigerated 2-8C,2023-11-07 10:48:15
INV-000020,OUT-0400,PRD-0026,Aspirin 100mg,BN-202477-9299,910,84,103,60,178.6,2027-05-31,2023-09-19,in_stock,Room Temperature,2025-10-04 19:15:29
INV-000021,OUT-0364,PRD-0044,Nivolumab 240mg,BN-202504-2573,1896,74,75,452,228.53,2027-02-20,2025-06-20,in_stock,Frozen -20C,2024-05-07 02:01:16
INV-000022,OUT-0335,PRD-0030,Clarithromycin 500mg,BN-202303-9234,857,46,13,126,456.95,2024-06-20,2023-04-17,expired,Controlled Room Temp,2024-08-20 20:12:44
INV-000023,OUT-0491,PRD-0041,Pembrolizumab 100mg,BN-202337-2079,647,100,163,420,191.04,2025-04-23,2023-04-22,expired,Controlled Room Temp,2025-08-29 03:00:34
INV-000024,OUT-0481,PRD-0016,Clopidogrel 75mg,BN-202448-2622,1683,23,192,239,194.12,2026-01-02,2025-10-06,expired,Controlled Room Temp,2023-08-17 05:07:19
INV-000025,OUT-0253,PRD-0021,Fluoxetine 20mg,BN-202406-2895,1279,100,119,253,247.36,2024-11-27,2023-05-19,expired,Controlled Room Temp,2025-03-17 02:17:14
INV-000026,OUT-0423,PRD-0015,Hydrochlorothiazide 25mg,BN-202484-6867,203,93,95,120,209.46,2025-12-15,2024-09-06,expired,Controlled Room Temp,2024-01-28 09:58:23
INV-000027,OUT-0022,PRD-0039,Adalimumab 40mg,BN-202416-5685,70,33,21,242,224.45,2024-12-13,2024-07-19,expired,Frozen -20C,2023-05-07 00:34:29
INV-000028,OUT-0324,PRD-0020,Sertraline 50mg,BN-202420-9854,1667,11,135,387,150.65,2027-12-05,2024-11-03,in_stock,Room Temperature,2023-08-28 16:40:39
INV-000029,OUT-0487,PRD-0016,Clopidogrel 75mg,BN-202389-3737,507,10,12,297,282.2,2027-12-11,2024-07-20,in_stock,Refrigerated 2-8C,2023-08-27 13:00:18
INV-000030,OUT-0445,PRD-0009,Simvastatin 40mg,BN-202424-8389,23,23,129,196,380.71,2026-09-20,2025-10-23,low_stock,Refrigerated 2-8C,2023-04-22 10:22:15
INV-000031,OUT-0423,PRD-0044,Nivolumab 240mg,BN-202341-7334,274,45,105,336,12.7,2026-02-05,2025-12-02,expired,Room Temperature,2024-12-05 15:29:31
INV-000032,OUT-0266,PRD-0020,Sertraline 50mg,BN-202413-9601,1354,43,151,497,95.8,2025-09-28,2025-04-19,expired,Room Temperature,2024-09-06 03:36:53
INV-000033,OUT-0386,PRD-0030,Clarithromycin 500mg,BN-202439-2904,1976,77,156,264,206.46,2024-07-26,2024-04-19,in_stock,Refrigerated 2-8C,2025-07-18 03:26:16
INV-000034,OUT-0040,PRD-0010,Levothyroxine 100mcg,BN-202510-3836,490,21,154,146,495.78,2027-04-06,2024-09-23,in_stock,Refrigerated 2-8C,2023-03-30 04:09:52
INV-000035,OUT-0491,PRD-0040,Rituximab 500mg,BN-202393-8957,965,75,101,65,197.61,2026-10-29,2023-11-21,in_stock,Room Temperature,2024-09-17 06:57:04
INV-000036,OUT-0436,PRD-0048,Methylprednisolone 16mg,BN-202447-2532,153,14,124,467,473.44,2024-12-23,2025-03-11,expired,Refrigerated 2-8C,2023-12-16 11:02:15
INV-000037,OUT-0447,PRD-0012,Azithromycin 500mg,BN-202434-3376,621,28,195,272,377.4,2026-09-26,2025-03-21,in_stock,Refrigerated 2-8C,2023-04-17 21:40:59
INV-000038,OUT-0351,PRD-0010,Levothyroxine 100mcg,BN-202337-1201,1040,34,139,183,437.82,2024-10-04,2023-02-19,expired,Refrigerated 2-8C,2024-04-09 22:52:16
INV-000039,OUT-0276,PRD-0020,Sertraline 50mg,BN-202457-7924,996,70,83,165,482.37,2025-02-02,2025-07-28,in_stock,Refrigerated 2-8C,2025-06-09 03:59:38
INV-000040,OUT-0252,PRD-0010,Levothyroxine 100mcg,BN-202331-4154,798,95,188,183,435.28,2027-10-10,2025-05-11,in_stock,Room Temperature,2024-04-25 22:05:15
INV-000041,OUT-0397,PRD-0050,Valsartan 80mg,BN-202376-5492,1728,22,143,465,108.17,2027-01-06,2025-12-02,in_stock,Refrigerated 2-8C,2023-08-18 05:26:04
INV-000042,OUT-0104,PRD-0048,Methylprednisolone 16mg,BN-202407-8931,440,7,146,463,3.91,2026-07-05,2024-10-06,in_stock,Room Temperature,2024-01-27 23:37:39
INV-000043,OUT-0020,PRD-0046,Etanercept 50mg,BN-202394-8695,346,21,107,218,43.89,2024-03-28,2024-09-25,in_stock,Controlled Room Temp,2024-02-06 01:39:40
INV-000044,OUT-0481,PRD-0050,Valsartan 80mg,BN-202365-7899,929,71,178,500,85.21,2025-01-23,2024-06-24,expired,Frozen -20C,2025-11-27 20:05:02
INV-000045,OUT-0090,PRD-0004,Atorvastatin 20mg,BN-202308-1405,879,27,92,282,148.05,2025-10-13,2024-07-04,expired,Refrigerated 2-8C,2023-04-05 16:30:39
INV-000046,OUT-0052,PRD-0044,Nivolumab 240mg,BN-202497-5555,1278,62,172,352,388.51,2027-06-28,2025-05-12,in_stock,Room Temperature,2024-06-20 16:26:55
INV-000047,OUT-0396,PRD-0033,Warfarin 5mg,BN-202356-3300,1556,86,171,66,491.12,2026-07-24,2023-09-20,in_stock,Refrigerated 2-8C,2024-12-14 07:06:42
INV-000048,OUT-0079,PRD-0006,Lisinopril 10mg,BN-202335-4897,900,16,53,388,367.29,2025-04-17,2024-07-27,in_stock,Refrigerated 2-8C,2024-11-26 12:32:42
INV-000049,OUT-0177,PRD-0037,Insulin Glargine 100U,BN-202355-4123,135,7,108,429,10.76,2024-02-25,2024-06-17,expired,Frozen -20C,2023-12-30 14:05:03
INV-000050,OUT-0338,PRD-0044,Nivolumab 240mg,BN-202309-3194,115,73,56,482,4.25,2024-10-20,2023-01-02,in_stock,Controlled Room Temp,2025-06-25 02:37:05
INV-000051,OUT-0387,PRD-0028,Ranitidine 150mg,BN-202417-9771,1406,71,178,75,217.7,2027-03-29,2024-05-02,in_stock,Refrigerated 2-8C,2025-06-02 20:03:44
INV-000052,OUT-0226,PRD-0006,Lisinopril 10mg,BN-202354-5333,1039,20,123,470,72.2,2026-12-18,2023-03-19,in_stock,Refrigerated 2-8C,2025-01-15 00:31:34
INV-000053,OUT-0294,PRD-0032,Propranolol 40mg,BN-202392-2454,1573,60,19,488,7.26,2025-01-21,2025-01-06,expired,Frozen -20C,2024-11-16 22:47:37
INV-000054,OUT-0256,PRD-0046,Etanercept 50mg,BN-202419-1020,1947,39,127,319,333.7,2025-06-28,2023-09-20,in_stock,Room Temperature,2024-07-18 16:20:14
INV-000055,OUT-0228,PRD-0041,Pembrolizumab 100mg,BN-202363-2087,869,22,58,421,430.77,2024-08-04,2024-11-08,expired,Refrigerated 2-8C,2024-08-25 14:14:19
INV-000056,OUT-0454,PRD-0041,Pembrolizumab 100mg,BN-202344-7158,1725,99,162,147,426.36,2024-03-02,2023-06-29,in_stock,Room Temperature,2025-09-18 16:15:30
INV-000057,OUT-0166,PRD-0028,Ranitidine 150mg,BN-202491-6091,1027,32,41,391,144.47,2026-10-16,2024-03-11,in_stock,Controlled Room Temp,2025-10-27 12:20:30
INV-000058,OUT-0335,PRD-0023,Tramadol 50mg,BN-202461-4167,1349,56,46,471,314.46,2027-11-19,2024-04-20,in_stock,Frozen -20C,2025-05-11 16:19:27
INV-000059,OUT-0254,PRD-0015,Hydrochlorothiazide 25mg,BN-202331-3314,218,44,153,461,55.9,2026-07-07,2024-08-05,in_stock,Frozen -20C,2024-06-24 22:30:43
INV-000060,OUT-0299,PRD-0015,Hydrochlorothiazide 25mg,BN-202339-4410,619,1,74,498,60.43,2025-02-12,2023-12-21,expired,Refrigerated 2-8C,2025-12-29 16:39:48
INV-000061,OUT-0019,PRD-0043,Bevacizumab 400mg,BN-202486-1749,1460,57,135,91,145.81,2024-01-20,2024-04-04,expired,Controlled Room Temp,2025-10-21 06:02:36
INV-000062,OUT-0448,PRD-0030,Clarithromycin 500mg,BN-202420-1355,1880,92,110,181,161.23,2024-06-01,2024-10-13,in_stock,Controlled Room Temp,2025-08-24 11:36:14
INV-000063,OUT-0440,PRD-0041,Pembrolizumab 100mg,BN-202399-1884,1517,18,55,256,16.16,2025-02-03,2023-11-17,in_stock,Room Temperature,2024-02-23 23:15:54
INV-000064,OUT-0105,PRD-0034,Furosemide 40mg,BN-202365-8773,1903,0,52,328,142.85,2024-05-15,2025-01-13,expired,Controlled Room Temp,2025-05-19 23:00:45
INV-000065,OUT-0059,PRD-0049,Rosuvastatin 10mg,BN-202431-8743,496,32,87,421,225.52,2026-06-01,2024-12-21,in_stock,Controlled Room Temp,2025-06-13 11:29:54
INV-000066,OUT-0329,PRD-0012,Azithromycin 500mg,BN-202363-3936,891,79,188,74,263.71,2025-12-01,2025-04-29,expired,Controlled Room Temp,2023-07-04 17:07:38
INV-000067,OUT-0264,PRD-0024,Diclofenac 50mg,BN-202505-4622,976,39,29,136,153.87,2027-02-01,2023-04-17,in_stock,Room Temperature,2024-08-03 22:14:10
INV-000068,OUT-0091,PRD-0036,Allopurinol 300mg,BN-202431-8751,1087,18,148,182,282.05,2026-04-12,2024-09-23,in_stock,Controlled Room Temp,2024-08-31 19:15:23
INV-000069,OUT-0209,PRD-0043,Bevacizumab 400mg,BN-202441-5778,834,87,134,63,285.41,2027-07-15,2025-04-21,in_stock,Room Temperature,2023-04-24 05:21:54
INV-000070,OUT-0008,PRD-0044,Nivolumab 240mg,BN-202492-2809,1497,93,56,308,107.26,2025-11-03,2024-04-15,in_stock,Room Temperature,2025-08-13 12:24:12
INV-000071,OUT-0187,PRD-0013,Prednisone 10mg,BN-202467-1474,331,17,100,79,301.03,2024-04-17,2025-11-10,in_stock,Controlled Room Temp,2024-03-14 04:51:26
