outlet_id,outlet_name,outlet_type,address,city,state,country,zip_code,phone,license_number,owner_name,chain_name,opened_date,status,tier
OUT-0001,"Camacho, Hernandez and Mejia Pharmacy",pharmacy,2108 Kimberly Plains,Stephaniemouth,Wisconsin,United States,41832,733.242.6433,RPH-912775,Steven Gonzales,Independent,2017-06-30,closed,gold
OUT-0002,Johnson-Dillon Hospital,hospital,0776 Jamie Light,North Tanyahaven,Arizona,United States,76300,001-381-723-1795x5633,RPH-293169,Jordan Duffy,Walgreens,2012-09-06,suspended,silver
OUT-0003,Smith Group Clinic,clinic,55416 Perez Squares Apt. 670,Jessicamouth,Oregon,United States,06447,(932)290-2822,RPH-268010,Robert Cline,Walgreens,2019-02-14,suspended,silver
OUT-0004,"Carter, Williamson and Morrow Distributors",distributor,28225 Kristin Burgs Suite 346,Reginaview,Virginia,United States,82016,400-450-7026x08698,RPH-434050,Gregory Walker,Pharmasave,2018-06-07,active,platinum
OUT-0005,Mcneil-Rodriguez Pharmacy,pharmacy,6872 Larry Mountains Suite 258,Summerville,Colorado,United States,63125,393.523.8223x1164,RPH-316283,Cody Hopkins,Shoppers Drug Mart,2014-10-13,suspended,gold
OUT-0006,Page-Murray Clinic,clinic,56529 Julie Union Suite 032,East Cynthiabury,North Carolina,United States,21719,(650)997-7539x6737,RPH-449785,Douglas Mack,Boots Pharmacy,2011-01-06,active,platinum
OUT-0007,Rogers-Stafford Pharmacy,pharmacy,7871 Hines Greens Apt. 560,North Jeremy,New Jersey,United States,60457,318-442-5476,RPH-604559,Todd Lutz,LloydsPharmacy,2012-04-18,closed,silver
OUT-0008,Thomas Ltd Clinic,clinic,35892 Lauren Lake,Lake Stacey,Ohio,United States,70083,(852)512-9328,RPH-854534,Tyler Rush,Pharmasave,2021-05-05,suspended,silver
OUT-0009,Price-Boyd Pharmacy,pharmacy,7524 Charles Station Suite 399,North Karinaberg,Massachusetts,United States,19348,623.462.6693x3513,RPH-128978,Becky Singh,MedPlus,2016-06-18,active,silver
OUT-0010,"Hernandez, Ramos and Chambers Pharmacy",pharmacy,18481 Hall Mill Suite 189,Hernandezmouth,Minnesota,United States,36166,6645176927,RPH-587640,Ann Dennis,CVS Health,2022-05-01,active,silver
OUT-0011,"Grimes, Allen and Horn Distributors",distributor,660 Michelle Harbors Suite 485,Estradaview,California,United States,47249,801-673-9739,RPH-576489,Richard Erickson,None,2021-06-14,active,silver
OUT-0012,"Obrien, Cunningham and Obrien Distributors",distributor,91919 David Track Apt. 599,Ochoaton,North Carolina,United States,46022,+1-777-398-0660x3920,RPH-856028,Jason Johnson,Independent,2021-01-25,active,silver
OUT-0013,Atkinson-King Clinic,clinic,3470 Ellis Roads Suite 238,Joystad,Washington,United States,23052,915.459.8354x1165,RPH-137122,Christina Chase,Boots Pharmacy,2008-10-26,suspended,bronze
OUT-0014,Bell-Shaffer Clinic,clinic,25013 Stout Squares Suite 882,Montgomeryland,Missouri,United States,26534,819-464-2585,RPH-284896,Ashley Blanchard,Pharmasave,2018-11-06,active,gold
OUT-0015,Austin-Arellano Hospital,hospital,70382 Johnson Fork Apt. 337,East Alexander,California,United States,32440,8974768893,RPH-783223,Lauren Burton,Costco Pharmacy,2022-04-18,suspended,silver
OUT-0016,Francis-Mann Hospital,hospital,6553 Fernandez Club Apt. 538,North Tina,Texas,United States,67013,001-278-951-9358x374,RPH-707021,Kathleen Graham,Boots Pharmacy,2012-06-23,suspended,bronze
OUT-0017,Johnson Group Pharmacy,pharmacy,7215 Stephanie Harbor,Staceytown,New York,United States,94035,+1-876-426-3748x453,RPH-926393,Veronica Matthews,Kroger Pharmacy,2020-03-22,active,bronze
OUT-0018,Arellano Inc Clinic,clinic,119 Alyssa Stream Apt. 339,Port Howard,Indiana,United States,85620,415.311.6966x6725,RPH-971795,Christopher Jordan,Kroger Pharmacy,2016-08-23,active,gold
OUT-0019,Porter-Lopez Clinic,clinic,35157 Alexandria Brooks Apt. 805,East Aaronhaven,Massachusetts,United States,02149,4565409951,RPH-241440,Kathleen Nichols,Shoppers Drug Mart,2011-05-11,active,silver
OUT-0020,Davis-Vega Hospital,hospital,592 Mccarthy Trail,New Eduardo,Michigan,United States,58841,4904814415,RPH-933454,Kathleen Munoz,None,2011-12-14,suspended,bronze
OUT-0021,"Mora, Pace and Mcfarland Hospital",hospital,1815 Michael Garden Suite 360,Brianfort,Tennessee,United States,86963,001-591-681-5899x886,RPH-453964,Jerome Gonzalez,Pharmasave,2008-01-01,active,gold
OUT-0022,"Simmons, Graham and Miller Hospital",hospital,1587 Torres Turnpike,Kelliton,Michigan,United States,69648,2312499825,RPH-584966,Eric Lopez,Pharmasave,2008-07-07,active,silver
OUT-0023,"Williams, Bryan and Russo Pharmacy",pharmacy,503 Stephen Ferry,Lake Luke,Missouri,United States,94090,373.699.0063,RPH-747958,David Cervantes,Guardian Pharmacy,2023-07-18,closed,gold
OUT-0024,Joyce-Benitez Hospital,hospital,6022 Christy Green,Beckerport,Maryland,United States,27354,+1-846-206-6643x7490,RPH-461242,Joann Alvarado,Shoppers Drug Mart,2011-01-08,suspended,gold
OUT-0025,Jones Inc Hospital,hospital,71285 Sherry Glens,Mitchellport,Tennessee,United States,37817,001-541-416-3187,RPH-206358,Amanda Mendoza,Guardian Pharmacy,2018-06-05,active,silver
OUT-0026,Perez Group Pharmacy,pharmacy,13695 Rodgers Mills,Lake Sarahborough,Massachusetts,United States,28082,001-850-890-2542x5730,RPH-541149,Edgar Brown,Apollo Pharmacy,2014-11-18,active,silver
OUT-0027,Burton LLC Pharmacy,pharmacy,71398 Hawkins Divide Suite 011,Holmestown,Massachusetts,United States,81580,001-825-350-2130x6090,RPH-142848,Pamela Johnson,None,2006-01-11,active,bronze
OUT-0028,"Jones, Banks and Bartlett Distributors",distributor,9673 Salazar Key Suite 727,Jeffreyport,Louisiana,United States,84006,001-526-842-5064x2076,RPH-507842,Mark Clark,Shoppers Drug Mart,2010-05-09,active,silver
OUT-0029,Fisher-Butler Hospital,hospital,6755 Ortega Dale Apt. 333,Port Jessica,California,United States,81618,(978)665-4362x718,RPH-634917,Tina Berg,Boots Pharmacy,2015-06-24,active,gold
OUT-0030,Williams-Robinson Pharmacy,pharmacy,686 Sherry Burg,South Ashley,New York,United States,23090,992-769-3265x732,RPH-865441,Pamela Schmidt,Shoppers Drug Mart,2019-08-21,active,gold
OUT-0031,"Liu, Lowe and Buchanan Pharmacy",pharmacy,00515 Harris Drive,West Mary,Kentucky,United States,48072,+1-459-477-5244x182,RPH-998920,Joseph Montgomery,Boots Pharmacy,2009-06-15,active,bronze
OUT-0032,Hoffman Ltd Clinic,clinic,431 Regina Court Apt. 267,Woodstown,New Jersey,United States,77332,001-357-799-2707x955,RPH-403657,Chad Evans,Apollo Pharmacy,2020-11-24,suspended,bronze
OUT-0033,Rangel-Rodriguez Hospital,hospital,541 Morrison Union,Smithshire,Colorado,United States,55254,(754)438-4807,RPH-523311,David Parker,Costco Pharmacy,2023-06-11,active,silver
OUT-0034,Ferrell-Morgan Distributors,distributor,715 David Road Apt. 904,Gonzalezfort,Utah,United States,50310,(504)965-5866x5254,RPH-505464,Bradley Cole,Independent,2014-09-13,suspended,gold
OUT-0035,"Miller, Wade and Flores Clinic",clinic,21312 Brown Ports,Port Christopher,California,United States,10385,3053912975,RPH-946708,Charles Hardin,Shoppers Drug Mart,2017-08-13,active,gold
OUT-0036,Lopez Ltd Pharmacy,pharmacy,63301 Flores Pines,South Lisa,New Jersey,United States,93331,592.674.9072x8012,RPH-412619,Joshua Kaufman,MedPlus,2006-04-04,active,silver
