material_id,material_name,material_type,supplier_id,unit_of_measure,unit_cost,currency,min_order_quantity,lead_time_days,storage_condition,shelf_life_months,gmp_certified,cas_number,status
MAT-00001,Primary Label A5,label,SUP-0057,L,4155.32,INR,453,47,cold,32,true,,active
MAT-00002,Purified Water USP,raw_chemical,SUP-0096,rolls,1179.27,EUR,15,43,cold,59,false,19192-27-0,active
MAT-00003,Hologram Sticker,label,SUP-0115,L,3794.33,JPY,3,13,cold,22,true,,active
MAT-00004,Isopropyl Alcohol,raw_chemical,SUP-0061,sheets,556.38,GBP,63,9,cold,32,false,8282-24-7,discontinued
MAT-00005,Potassium Chloride,raw_chemical,SUP-0062,kg,3159.96,EUR,150,57,cold,45,false,31581-83-6,active
MAT-00006,Sertraline HCl,active_ingredient,SUP-0140,rolls,338.86,JPY,403,67,controlled,7,false,61671-15-6,active
MAT-00007,Blister PVC/Alu,packaging,SUP-0089,kg,1785.79,EUR,376,87,controlled,12,false,,active
MAT-00008,Amlodipine Besylate,active_ingredient,SUP-0200,rolls,2730.3,INR,357,64,controlled,17,true,8320-68-0,active
MAT-00009,Lactose Monohydrate,excipient,SUP-0081,kg,3955.65,GBP,264,53,controlled,36,false,4849-92-3,active
MAT-00010,Glass Vial 20ml,packaging,SUP-0070,kg,4329.06,USD,410,50,ambient,31,false,,active
MAT-00011,Ampoule 5ml,packaging,SUP-0095,L,2481.27,JPY,137,13,controlled,33,true,,active
MAT-00012,Methanol AR Grade,raw_chemical,SUP-0027,L,2727.6,USD,168,87,ambient,25,false,79036-64-2,pending_approval
MAT-00013,Serialization Label,label,SUP-0158,rolls,2235.92,INR,141,84,cold,10,false,,active
MAT-00014,Hydrochloric Acid,raw_chemical,SUP-0156,L,4763.97,INR,18,19,cold,21,false,47517-59-9,active
MAT-00015,Methanol AR Grade,raw_chemical,SUP-0096,L,3395.47,INR,391,12,controlled,14,false,52221-50-4,active
MAT-00016,Clopidogrel Bisulfate,active_ingredient,SUP-0133,kg,3678.51,INR,468,74,cold,22,false,92329-67-3,discontinued
MAT-00017,HDPE Bottle 60cc,packaging,SUP-0019,pcs,1001.29,INR,89,59,cold,57,false,,pending_approval
MAT-00018,Glass Vial 10ml,packaging,SUP-0077,g,2750.21,EUR,365,84,cold,56,false,,discontinued
MAT-00019,Povidone K30,excipient,SUP-0061,g,4925.67,INR,14,49,controlled,42,false,61313-80-2,discontinued
MAT-00020,Clopidogrel Bisulfate,active_ingredient,SUP-0135,g,1546.8,INR,394,55,controlled,10,true,41603-92-1,active
MAT-00021,Shipping Label,label,SUP-0164,rolls,642.11,JPY,94,19,ambient,38,true,,active
MAT-00022,Hydrochloric Acid,raw_chemical,SUP-0083,L,1520.97,EUR,178,69,ambient,60,true,32897-35-8,active
MAT-00023,Magnesium Stearate,excipient,SUP-0129,units,3072.33,EUR,304,77,cold,16,false,73924-15-0,active
MAT-00024,Fluoxetine HCl,active_ingredient,SUP-0107,units,3255.82,JPY,328,6,ambient,46,false,84186-48-7,active
MAT-00025,Primary Label A4,label,SUP-0041,units,2267.99,INR,213,64,ambient,19,false,,discontinued
MAT-00026,Hydroxypropyl Cellulose,excipient,SUP-0188,rolls,4307.49,GBP,500,54,cold,54,false,67549-81-1,active
MAT-00027,Iron Oxide Red,excipient,SUP-0064,pcs,613.05,EUR,50,9,ambient,30,false,32591-30-5,discontinued
MAT-00028,Ampoule 5ml,packaging,SUP-0132,mL,3815.73,INR,256,42,ambient,7,true,,active
MAT-00029,Sodium Hydroxide,raw_chemical,SUP-0150,pcs,4833.45,GBP,25,9,ambient,37,false,37503-78-0,active
MAT-00030,Serialization Label,label,SUP-0196,L,4412.34,INR,188,8,ambient,9,true,,active
MAT-00031,Sodium Chloride,raw_chemical,SUP-0116,units,368.12,JPY,144,82,controlled,45,true,16914-22-6,active
MAT-00032,HDPE Bottle 120cc,packaging,SUP-0155,rolls,3774.95,JPY,206,67,cold,8,true,,active
MAT-00033,HDPE Bottle 60cc,packaging,SUP-0156,pcs,2596.9,JPY,72,44,controlled,26,true,,active
MAT-00034,Sodium Chloride,raw_chemical,SUP-0131,units,2968.83,JPY,251,75,ambient,36,true,48331-52-1,active
MAT-00035,Propylene Glycol,raw_chemical,SUP-0177,units,3983.88,USD,306,63,ambient,47,true,94605-16-9,active
MAT-00036,Silicon Dioxide,excipient,SUP-0009,sheets,739.3,JPY,486,17,cold,7,false,41166-63-2,active
MAT-00037,PEG 6000,excipient,SUP-0121,sheets,2509.35,USD,362,20,controlled,19,false,86849-71-8,active
MAT-00038,Carton Box Small,packaging,SUP-0088,L,2298.59,JPY,182,89,controlled,49,false,,discontinued
MAT-00039,Leaflet Insert A4,label,SUP-0143,mL,4786.71,GBP,116,41,ambient,51,true,,pending_approval
MAT-00040,Shipping Label,label,SUP-0185,rolls,2399.28,GBP,148,18,controlled,49,false,,active
MAT-00041,Glass Vial 10ml,packaging,SUP-0183,L,1452.62,USD,178,59,controlled,22,false,,active
MAT-00042,Stearic Acid,excipient,SUP-0036,units,4665.15,USD,316,78,cold,21,true,87846-77-3,pending_approval
MAT-00043,Hydroxypropyl Cellulose,excipient,SUP-0184,kg,501.44,INR,52,90,cold,6,true,53384-93-7,active
MAT-00044,Lactose Monohydrate,excipient,SUP-0197,units,1606.18,USD,334,76,cold,40,true,22996-63-2,active
MAT-00045,Leaflet Insert A4,label,SUP-0010,pcs,931.97,USD,153,75,controlled,12,false,,active
MAT-00046,Carton Print Sheet,label,SUP-0130,pcs,4446.36,INR,140,27,cold,27,true,,pending_approval
MAT-00047,Primary Label A4,label,SUP-0189,units,3593.13,GBP,405,40,controlled,49,true,,active
MAT-00048,Sodium Chloride,raw_chemical,SUP-0084,sheets,4135.04,USD,206,88,cold,17,true,62630-51-3,active
MAT-00049,Child-Resistant Cap,packaging,SUP-0069,sheets,1177.99,GBP,155,77,controlled,42,true,,active
MAT-00050,Blister PVC/Alu,packaging,SUP-0120,mL,311.09,GBP,82,54,controlled,38,false,,pending_approval
MAT-00051,Simvastatin,active_ingredient,SUP-0057,units,1838.04,EUR,245,22,ambient,53,false,54555-99-8,active
MAT-00052,Glycerin USP,raw_chemical,SUP-0194,mL,3809.42,JPY,448,13,controlled,34,false,10287-82-1,active
MAT-00053,Hydrochloric Acid,raw_chemical,SUP-0043,mL,2863.72,GBP,438,69,ambient,13,true,94017-84-7,active
MAT-00054,Phosphoric Acid,raw_chemical,SUP-0034,pcs,4043.56,JPY,213,61,controlled,9,false,88231-49-0,active
MAT-00055,Carton Box Medium,packaging,SUP-0019,kg,3729.15,USD,217,47,controlled,10,true,,active
MAT-00056,Carton Print Sheet,label,SUP-0197,kg,1435.81,EUR,393,85,controlled,47,false,,active
MAT-00057,Tamper Evident Seal,label,SUP-0097,pcs,4348.17,USD,350,87,controlled,14,false,,active
MAT-00058,Silicon Dioxide,excipient,SUP-0001,sheets,2644.45,USD,153,62,controlled,52,false,69771-58-3,active
MAT-00059,Leaflet Insert A5,label,SUP-0186,rolls,776.03,USD,17,87,ambient,45,true,,active
MAT-00060,Lactose Monohydrate,excipient,SUP-0115,g,504.93,JPY,345,9,cold,53,true,52775-66-3,discontinued
MAT-00061,Starch 1500,excipient,SUP-0060,kg,701.11,JPY,164,76,controlled,55,false,31101-48-2,pending_approval
MAT-00062,Isopropyl Alcohol,raw_chemical,SUP-0016,mL,2068.09,JPY,486,78,controlled,17,false,72906-73-0,active
MAT-00063,Tamper Evident Seal,label,SUP-0039,rolls,3481.69,GBP,193,26,controlled,36,true,,active
MAT-00064,Nasal Spray Pump,packaging,SUP-0015,L,4028.98,JPY,212,56,controlled,39,true,,active
