outlet_id,outlet_name,outlet_type,chain_name,city,province,region,license_number,phone,opened_date,status,tier
OUT-0001,K-24 Manado,apotek_jaringan,K-24,Manado,Sulawesi Utara,Sulawesi,SIPA-809570,+62-210-2458591,2015-06-30,aktif,silver
OUT-0002,Kimia Farma Banjarmasin,apotek_jaringan,Kimia Farma,Banjarmasin,Kalimantan Selatan,Kalimantan,SIPA-688508,+62-71-8038374,2014-11-27,aktif,silver
OUT-0003,Century Healthcare Surabaya,apotek_jaringan,Century Healthcare,Surabaya,Jawa Timur,Jawa,SIPA-543143,+62-108-5661907,2010-02-23,aktif,gold
OUT-0004,K-24 Bogor,apotek_jaringan,K-24,Bogor,Jawa Barat,Jawa,SIPA-988662,+62-109-5437923,2012-04-17,aktif,platinum
OUT-0005,Apotek Mekar,apotek_independen,Independen,Bandung,Jawa Barat,Jawa,SIPA-678856,+62-96-7067228,2012-10-19,tutup_permanen,silver
OUT-0006,Kimia Farma Banjarmasin,apotek_jaringan,Kimia Farma,Banjarmasin,Kalimantan Selatan,Kalimantan,SIPA-183667,+62-239-4905582,2024-10-31,aktif,gold
OUT-0007,Guardian Depok,apotek_jaringan,Guardian,Depok,Jawa Barat,Jawa,SIPA-802729,+62-89-2197935,2018-03-08,aktif,silver
OUT-0008,Apotek Mekar,apotek_independen,Independen,Makassar,Sulawesi Selatan,Sulawesi,SIPA-771088,+62-197-4684531,2015-06-29,aktif,silver
OUT-0009,Klinik Sejahtera,klinik,Independen,Yogyakarta,DI Yogyakarta,Jawa,SIPA-520651,+62-89-2110460,2015-02-20,aktif,bronze
OUT-0010,RS Cahaya Solo,rumah_sakit,Independen,Solo,Jawa Tengah,Jawa,SIPA-774079,+62-138-3396987,2014-10-08,aktif,silver
OUT-0011,K-24 Malang,apotek_jaringan,K-24,Malang,Jawa Timur,Jawa,SIPA-711878,+62-123-7073292,2022-02-02,aktif,silver
OUT-0012,RS Abadi Surabaya,rumah_sakit,Independen,Surabaya,Jawa Timur,Jawa,SIPA-214975,+62-60-3684052,2021-06-06,aktif,bronze
OUT-0013,Apotek Permata,apotek_independen,Independen,Palembang,Sumatera Selatan,Sumatera,SIPA-363626,+62-269-1192619,2018-07-24,aktif,silver
OUT-0014,Apotek Mekar,apotek_independen,Independen,Depok,Jawa Barat,Jawa,SIPA-407757,+62-132-3653446,2015-12-26,aktif,gold
OUT-0015,K-24 Padang,apotek_jaringan,K-24,Padang,Sumatera Barat,Sumatera,SIPA-632342,+62-254-2785277,2015-11-28,tutup_permanen,bronze
OUT-0016,Watsons Manado,apotek_jaringan,Watsons,Manado,Sulawesi Utara,Sulawesi,SIPA-269396,+62-159-9897858,2023-08-29,aktif,silver
OUT-0017,Apotek Kasih,apotek_independen,Independen,Jakarta,DKI Jakarta,Jawa,SIPA-972064,+62-227-6159230,2010-06-09,aktif,silver
OUT-0018,Apotek Roxy Surabaya,apotek_jaringan,Apotek Roxy,Surabaya,Jawa Timur,Jawa,SIPA-172574,+62-271-9937326,2011-10-08,aktif,silver
OUT-0019,Guardian Bogor,apotek_jaringan,Guardian,Bogor,Jawa Barat,Jawa,SIPA-736059,+62-129-4553384,2022-05-01,aktif,silver
