sale_id,outlet_id,product_id,product_name,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,is_prescription,sale_date,created_at
SAL-0000001,OUT-0255,PRD-009,Ibuprofen 400mg,obat_bebas,2,7405.0,0.0,14810.0,qris,false,2024-09-09,2024-09-09 19:40:00
SAL-0000002,OUT-0293,PRD-020,Antasida Doen Tab,obat_bebas,2,4584.0,0.0,9168.0,tunai,false,2025-02-09,2025-02-09 13:53:00
SAL-0000003,OUT-0224,PRD-011,Vitamin D3 1000IU,suplemen,2,64378.0,19313.0,109443.0,bpjs,false,2025-08-31,2025-08-31 10:19:00
SAL-0000004,OUT-0190,PRD-020,Antasida Doen Tab,obat_bebas,1,4822.0,0.0,4822.0,tunai,false,2025-02-11,2025-02-11 13:18:00
SAL-0000005,OUT-0288,PRD-019,Glibenclamide 5mg,obat_keras,1,7316.0,0.0,7316.0,kredit,true,2025-02-06,2025-02-06 17:12:00
SAL-0000006,OUT-0107,PRD-022,Betadine 30ml,obat_bebas,1,18771.0,1877.0,16894.0,qris,false,2025-12-26,2025-12-26 11:28:00
SAL-0000007,OUT-0172,PRD-023,Mefenamic Acid 500mg,obat_keras,4,8845.0,5307.0,30073.0,qris,true,2025-05-26,2025-05-26 12:15:00
SAL-0000008,OUT-0152,PRD-022,Betadine 30ml,obat_bebas,2,17004.0,0.0,34008.0,tunai,false,2025-09-04,2025-09-04 15:37:00
SAL-0000009,OUT-0236,PRD-018,Captopril 25mg,obat_keras,5,6006.0,3003.0,27027.0,qris,true,2024-02-07,2024-02-07 13:44:00
SAL-0000010,OUT-0049,PRD-004,Loratadine 10mg,obat_bebas_terbatas,3,12516.0,0.0,37548.0,tunai,false,2025-09-19,2025-09-19 08:36:00
SAL-0000011,OUT-0234,PRD-025,OBH Combi Batuk Pilek,obat_bebas,3,16055.0,0.0,48165.0,tunai,false,2024-09-21,2024-09-21 11:32:00
SAL-0000012,OUT-0132,PRD-015,Salbutamol Inhaler,obat_keras,2,93087.0,18617.0,167557.0,qris,true,2025-05-27,2025-05-27 08:30:00
SAL-0000013,OUT-0060,PRD-010,Vitamin C 1000mg,suplemen,10,44395.0,0.0,443950.0,kredit,false,2026-01-17,2026-01-17 10:22:00
SAL-0000014,OUT-0184,PRD-011,Vitamin D3 1000IU,suplemen,1,64535.0,0.0,64535.0,tunai,false,2024-04-09,2024-04-09 15:46:00
SAL-0000015,OUT-0265,PRD-011,Vitamin D3 1000IU,suplemen,1,60499.0,6050.0,54449.0,tunai,false,2024-12-17,2024-12-17 18:06:00
SAL-0000016,OUT-0097,PRD-024,Dextromethorphan Sirup,obat_bebas_terbatas,1,21099.0,0.0,21099.0,tunai,false,2025-03-12,2025-03-12 15:14:00
SAL-0000017,OUT-0238,PRD-021,ORS Oralit Sachet,obat_bebas,2,2849.0,0.0,5698.0,qris,false,2026-01-25,2026-01-25 17:56:00
SAL-0000018,OUT-0118,PRD-015,Salbutamol Inhaler,obat_keras,1,96401.0,9640.0,86761.0,tunai,true,2024-10-12,2024-10-12 20:50:00
SAL-0000019,OUT-0036,PRD-019,Glibenclamide 5mg,obat_keras,4,6554.0,0.0,26216.0,qris,true,2024-07-20,2024-07-20 12:42:00
SAL-0000020,OUT-0287,PRD-017,Bisoprolol 5mg,obat_keras,1,30087.0,0.0,30087.0,debit,true,2025-08-24,2025-08-24 13:54:00
